do you like the medical field	OutOfDomain
are you single	OutOfDomain
I am having an emergency situation	Consult
After I brushed, I had bleeding and swollen gums.	Symptom/Disease
I have red lump under my skin and fever from three days, sore and annoyed.	Symptom/Disease
Can you cure my disease	OutOfDomain
What are some doctors here	Consult
I am having frequent dry mouth with bad breath.	Symptom/Disease
I don't know what's wrong, please help me with the symptoms I have.	Symptom/Disease
Where are nearby doctors	Consult
show me some salons	OutOfDomain
can you examine my body	OutOfDomain
Hey Consult me some doctors	Consult
can you provide medicine for a disease	OutOfDomain
I feel excessive thirst, starvation, and urination frequently.	Symptom/Disease
Please consult me some Orthopedic Surgeon	Consult
I want to see a Medical Geneticist	Consult
rent a bike	OutOfDomain
Hey Consult me a Infectious Disease Specialist	Consult
Who are the dentists i can see?	Consult
i feel nervous	Symptom/Disease
I want to be healed, since last week I've had headache.	Symptom/Disease
Hey Consult me some Neonatologists	Consult
how much do you weigh	OutOfDomain
Please consult me Pediatrician	Consult
Hey Consult me a doctor	Consult
where can i have breakfast	OutOfDomain
show me places for lunch	OutOfDomain
i have decreased body weight	Symptom/Disease
How do I get rid of my fatigue?	Symptom/Disease
i want to drink coffee	OutOfDomain
do you think	OutOfDomain
I want to consult a Urologist	Consult
i have difficulty in breathing	Symptom/Disease
i am feeling unwell	Symptom/Disease
I want to meet a doctor	Consult
deojadj d osd s m ls w a s z oq p	OutOfDomain
From five days I have red rash spreading from the face down the body	Symptom/Disease
what is your height	OutOfDomain
Who is a doctor here	Consult
when did steve jobs die	OutOfDomain
order food	OutOfDomain
i want to order a burger	OutOfDomain
i frequently blackout	Symptom/Disease
I've been having diarrhoea since last night.	Symptom/Disease
I want to see a doctor	Consult
i want a cab from x to y	OutOfDomain
when was the hottest day	OutOfDomain
I have an emergency	Consult
Hey can you show me some good doctors	Consult
are you a best chatbot	OutOfDomain
Forward me to a fucking doctor	Consult
Red, painful, fluid-filled blister has been appearing for many days close the mouth and lips	Symptom/Disease
I want to talk to a doctor	Consult
aaaaaaaaaaaaaaaa	OutOfDomain
Consult me some Rheumatologist	Consult
I want to ask some things to doctors	Consult
i want to ride a car	OutOfDomain
what is the meaning of robot	OutOfDomain
can i ask you any symptom	OutOfDomain
i want to have sex	OutOfDomain
what do you look like	OutOfDomain
I have red rash spreading from the face down the body over five days.	Symptom/Disease
I want to consult a doctor	Consult
i have chest pain	Symptom/Disease
what is your heart rate	OutOfDomain
aowd anscmxz wojr dewm,fo bmcos	OutOfDomain
Red, painful, fluid-filled blister has appeared for many days close the mouth and lips	Symptom/Disease
Red, painful, fluid-filled blister has been appearing near the mouth and lips for several days.	Symptom/Disease
I am sick I want to consult a doctor	Consult
I need a Pulmonologist urgently	Consult
I've got itchy, welts raised, little, round on my face.	Symptom/Disease
For the last few weeks, I've had dark spots and red marks on my leg muscles.	Symptom/Disease
Who is the most famous doctor	Consult
i keep vomiting	Symptom/Disease
Who is a nephrologist here	Consult
Do you know any doctors	Consult
In my face, fingers, feet, or lower legs there's a swelling. Can you do something about this?	Symptom/Disease
Can i see a doctor	Consult
can you bandage me	OutOfDomain
i want to eat pizza	OutOfDomain
are you a bot	OutOfDomain
I want to speak to a doctor	Consult
I have a headache and nausea	Symptom/Disease
Forward me to a fucking Physician	Consult
show me places for dinner	OutOfDomain
Red, painful, fluid-filled blister has been appearing near the mouth and lips for many days now.	Symptom/Disease
Are there any doctors	Consult
Are there any good doctors	Consult
I have a frequent dry mouth with a bad breath.	Symptom/Disease
where can i have good lunch	OutOfDomain
Do you know any Medical Geneticist	Consult
I need a Cardiologist	Consult
I want a doctor to examine my situation	Consult
show me nearby restaurants	OutOfDomain
Do you have any idea about nearby Dentists	Consult
I need to see a Obstetrician	Consult
I would like to see a doctor	Consult
I would like to see a physician	Consult
I have trouble concentrating, remembering details, making decisions and tiredness	Symptom/Disease
Do you know any pediatrician	Consult
I have an emergency	Consult
I urgently need a Psychiatrist	Consult
From a very long period of time I've had chills and cold.	Symptom/Disease
Tell me why my swollen joints are caused.	Symptom/Disease
Show me latest movies	OutOfDomain
List nearby doctors	Consult
I want to seek advice from a Dermatologist	Consult
Tell me what is the reason for my swollen joints.	Symptom/Disease
all the region	OutOfDomain
I need a doctor	Consult
I suffer from fever	Symptom/Disease
Show me nearby doctors	Consult
show me some bars	OutOfDomain
i want to buy a laptop	OutOfDomain
Give me the reason why my ass bleeds?	Symptom/Disease
can you tell a medicine for any disease	OutOfDomain
Show me doctors	Consult
I've had cold spots and scars on my reduced body for the last few days.	Symptom/Disease
what does AX mean	OutOfDomain
i have hallucinations	Symptom/Disease
Is there any Dermatologist that i can talk to	Consult
I've had age spots and red marks on my glutes over the past several weeks.	Symptom/Disease
rent a car	OutOfDomain
There's a difficulty in breathing.	Symptom/Disease
I've got itchy, welts raised, tiny, round on my face.	Symptom/Disease
i want to book flight tickets from abcd to xyza	OutOfDomain
For five days, I have red rash spreading from the face down the body	Symptom/Disease
Please show me some doctors	Consult
I am feeling dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly	Symptom/Disease
I want to see a Dermatologist	Consult
list of good restaurants	OutOfDomain
can you heal me	OutOfDomain
what is the meaning of mean	OutOfDomain
can i trust you	OutOfDomain
are you real	OutOfDomain
who will be the next president	OutOfDomain
I need a doctor urgently	Consult
I want to get advise from a doctor	Consult
show me cafeteria	OutOfDomain
I want a doctor to examine me	Consult
I want to get counsel from a doctor	Consult
Can you show me some doctors	Consult
My face, fingers, feet, or lower legs are swelling. Can you do anything?	Symptom/Disease
I don't understand what's wrong with the symptoms I have, kindly assist me.	Symptom/Disease
jjjjjjjjjjjjjjjjjjjj	OutOfDomain
Show me a doctor's list	Consult
This is an emergency situation, find me a Pulmonologist	Consult
Hey show me some doctors	Consult
Show me doctors list	Consult
Show me movies near me	OutOfDomain
my phone is not working	OutOfDomain
After brushing, I had blood and swollen gums.	Symptom/Disease
Consult me a Physiologist	Consult
Consult me a Dentist	Consult
I'm in profound sorrow	Symptom/Disease
what does abx mean	OutOfDomain
Red, painful, and irritated lump under my skin with fever from three days.	Symptom/Disease
Give me the reason for the bleeding of my ass?	Symptom/Disease
Consult me Neurologist	Consult
book hotel	OutOfDomain
i want to book a cab	OutOfDomain
show me best restaurants	OutOfDomain
I feel pain when I chew and bit	Symptom/Disease
my eyes are rolling	Symptom/Disease
How can I get relieved of the pain and swelling of my foot?	Symptom/Disease
can i ask you anything	OutOfDomain
Give me the reason, why my ass is bleeding?	Symptom/Disease
Consult me some immunologist	Consult
List nearby Podiatrist	Consult
what is the price of asus	OutOfDomain
I would like to see a dermatologist	Consult
This is an emergency situation, find me a Oncologist	Consult
